,Name_2005,ranking_2005,total_2005,mtn_2005,tt_2005,Name_2006,ranking_2006,total_2006,mtn_2006,tt_2006,Name_2007,ranking_2007,total_2007,mtn_2007,tt_2007,Name_2008,ranking_2008,total_2008,mtn_2008,tt_2008,Name_2010,ranking_2010,total_2010,mtn_2010,tt_2010,Name_2011,ranking_2011,total_2011,mtn_2011,tt_2011,Name_2012,ranking_2012,total_2012,mtn_2012,tt_2012
0,"AERTS, Mario",112.0,40.195554339988568,33.32204341136282,48.390761075350248,AZEVEDO Josƒ,19.0,40.502187301958422,35.024108392136334,47.110009017132548,PEREIRO SIO Oscar,10.0,39.123263651058934,35.65680132120481,48.668816213726394,EVANS Cadel,2.0,40.4961602882154,36.225411210000971,48.481880509304602,CONTADOR Alberto,1.0,39.594477060230481,36.605484930724181,43.883106485188151,CONTADOR Alberto,5.0,39.727684546484099,34.862611565858238,47.131720967419454,EVANS Cadel,7.0,39.808370963457669,35.288575850698727,46.537480877103519
1,"ALBASINI, Michael",145.0,39.871749418093813,32.855616197855042,48.464163822525592,EKIMOV Viatceslav,84.0,39.528737806360958,32.582617734368419,48.246565854784713,ARROYO David,13.0,39.070454649094806,35.73455233291299,46.099476439790571,AERTS Mario,31.0,40.130907268798346,35.563907379685958,44.701986754966889,DE LA FUENTE David,110.0,37.030413267957613,32.536143335502196,38.612187389926028,HERNANDEZ BLAZQUEZ Jesus,92.0,37.575086269330718,32.604472514702884,39.918740477399695,BURGHARDT Marcus,58.0,39.053811742661615,34.123962908735969,44.414162306849988
2,"ARMSTRONG, Lance",1.0,41.65190562379631,36.371510356701485,52.173913043478258,HINCAPIE George,32.0,40.256234635094977,34.288924147310119,47.728674203494343,GARCIA ACOSTA Vicente,91.0,37.970478396520754,33.098111738368694,45.86932928152811,BRANDT Christophe,,,33.091634725569996,43.471142038477275,GRIVKO Andriy,136.0,36.793062805186061,30.78470824949698,42.920908379013312,NAVARRO Daniel,62.0,38.117464021781409,32.666482993983237,40.163515585079203,CUMMINGS Stephen,95.0,38.697980387937655,33.392057393925242,44.944594927357798
3,"ARRIETA, Jose Luis",74.0,40.513236579383452,33.747905089529858,48.399924256769552,MARTINEZ Egoi,42.0,40.08000438380185,33.932124049151547,46.507177033492823,GUTIERREZ Jos Ivan,22.0,38.900983146067411,35.098312432265054,48.35697940503433,CIONI Dario,83.0,39.450035558045819,34.123483451669095,43.773028739867357,HERNANDEZ BLAZQUEZ Jesus,140.0,36.769123767429861,32.581127038108256,38.235088943146145,NOVAL GONZALEZ Benjamin,116.0,37.112286607357539,30.511766903249907,36.666148343958895,GILBERT Philippe,46.0,39.170955436209873,34.107686804193001,44.801178203240063
4,"ARROYO, David",53.0,40.7525980450853,34.565001355135969,46.78319758396632,NOVAL GONZALEZ Benjamin,,,34.089445438282645,45.833692373976739,KARPETS Vladimir,14.0,39.053120660262977,35.459427518726429,48.990379042540866,HOSTE Leif,124.0,38.995754781576665,33.114533699756819,46.624803767660914,IGLINSKIY Maxim,131.0,36.838136126595934,31.039181251135467,40.227522935779817,PORTE Richie,72.0,37.892411084174668,31.586274459253914,46.68382498515146,HINCAPIE George,38.0,39.251196507911764,34.397787276841839,45.612895164313386
5,"ARVESEN, Kurt-Asle",89.0,40.406912259544036,33.194196751337543,49.130225852955306,PADRNOS Pavel,65.0,39.778110129163835,33.202599410265954,47.253815715093275,PEREZ SANCHEZ Francisco,72.0,38.12739749192307,33.355948829035029,45.774937723383516,MC EWEN Robbie,122.0,39.004894559976627,33.114533699756819,43.941411451398139,NAVARRO Daniel,49.0,38.22981909793905,35.209864669918254,39.136022848982506,SORENSEN Chris Anker,37.0,38.671368530500523,33.663964830333839,44.099495043949879,MOINARD Ama<U+00EB>l,45.0,39.175221800732544,34.397787276841839,44.44119795471147
6,"ASTARLOZA, Mikel",27.0,41.221374045801525,35.58628387176784,48.249174138744692,POPOVYCH Yaroslav,25.0,40.398536938617703,34.595078299776283,47.60364464692482,PORTAL Nicolas,57.0,38.278548877107291,33.764428447312895,46.690234202386215,POPOVYCH Yaroslav,24.0,40.225894348246463,35.554470578245734,46.297739672642244,NOVAL GONZALEZ Benjamin,104.0,37.10209071460104,31.400477853335783,39.934426229508198,SORENSEN Nicki,95.0,37.518914418712058,30.58590531983058,44.215263453965875,QUINZIATO Manuel,109.0,38.631004621418093,33.145469676698937,37.66710353866317
7,"AUGE, Stephane",121.0,40.090888800714218,32.923156354874799,47.228381374722836,RUBIERA Josƒ Luis,92.0,39.498970940314535,32.523532216000973,46.460649177412186,VALVERDE Alejandro,6.0,39.143282681993036,35.775593761233026,47.402422611036343,VAN SUMMEREN Johan,87.0,39.404543721324984,34.016064664845601,45.24680073126143,TIRALONGO Paolo,54.0,38.142844674599253,34.334807073954984,40.271858927259366,TOSATTO Matteo,123.0,37.057266501407504,30.547775570755384,40.136170212765961,SCH<U+00C4>R Michael,49.0,39.154142821597411,34.146182646915186,45.34658385093168
8,"AZEVEDO, Jose",30.0,41.176096023432777,35.431393733600864,49.72762645914397,SAVOLDELLI Paolo,,,34.721344929789609,49.023041474654384,ZANDIO Xabier,,,,47.638190954773869,VANSEVENANT Wim,145.0,38.770169159226299,33.092942385205092,42.75226716568303,VINOKOUROV Alexandre,16.0,39.341175058512874,35.903542721047927,43.883106485188151,VANDBORG Brian,125.0,37.015719989927696,30.511766903249907,40.067969413763805,VAN GARDEREN Tejay,5.0,39.844279650958534,35.402929990773458,48.031578947368423
9,"BACKSTEDT, Magnus",,,32.133244381053167,54.488188976377955,JULICH Bobby,,,,49.631067961165051,ROGERS Michael,,,39.919151086407275,50.158730158730158,SASTRE Carlos,1.0,40.503584387998941,36.296850112147709,47.664901299951858,SCHLECK Andy,2.0,39.585152442890532,36.586541035387334,42.637106184364065,SCHLECK Andy,2.0,39.76427398319003,35.002714053081164,45.884413309982484,SCHLECK Frank,,,36.18107492040766,45.058792788084659
10,"BASSO, Ivan",2.0,41.614379211151224,36.34693942176763,51.130226045209042,LOMBARDI Giovanni,,,36.451578611672161,46.262230919765166,BURGHARDT Marcus,127.0,37.776386451618592,32.652636632791868,45.274772362078203,ARVESEN Kurt-Asle,57.0,39.678342292353044,34.278171175964964,45.102505694760822,BRESCHEL Matti,142.0,36.726070758284543,31.364449951810549,41.744097486671741,CANCELLARA Fabian,119.0,37.098460540072828,30.173623937938679,46.906703799482791,CANCELLARA Fabian,,,37.179419104762921,48.248461108002239
11,"BECKE, Daniel",152.0,39.789193878869547,32.923156354874799,46.091425480119014,O€™GRADY Stuart,91.0,39.501222640603665,32.726041441322813,46.840748627143334,CAVENDISH Mark,,,37.5,48.865979381443303,CANCELLARA Fabian,65.0,39.623254102491956,34.244180697396267,49.270072992700733,CANCELLARA Fabian,121.0,36.922167088151305,31.038241438822784,51.513157894736835,FUGLSANG Jakob,50.0,38.307614987993972,32.047291465041461,43.242251971391894,GALLOPIN Tony,,,32.332502950045892,46.454741379310342
12,"BELOKI, Joseba",75.0,40.505750294405054,33.718163391204726,49.201154956689123,SASTRE Carlos,4.0,40.764917343472781,35.70263198399261,48.019301470588232,EISEL Bernhard,121.0,37.794161326655747,32.63305210124355,45.177979690005351,GUSTOV Volodymir,46.0,39.823974192826576,34.563595654013227,44.7289156626506,FUGLSANG Jakob,50.0,38.229373206746132,33.995489818929492,44.094931617055508,GERDEMANN Linus,60.0,38.14643188137164,31.55211042723597,42.601626016260163,HORNER Christopher,13.0,39.777428100176316,35.355589765487174,45.284704131001121
13,"BELTRAN, Manuel",,,34.326813055086362,55.369843527738269,SCHLECK Frank,11.0,40.655022912832422,35.527283123672603,46.62130507529281,GERDEMANN Linus,36.0,38.585054927898689,34.301133115900612,48.512396694214878,O™GRADY Stuart,109.0,39.110847948040217,33.196246122744256,45.95389138171128,O™GRADY Stuart,149.0,36.638218675072515,31.078704826582584,44.92622950819672,MONFORT Maxime,29.0,38.985394684498665,33.138292597167251,45.618107951247822,KL<U+00D6>DEN Andr<U+00E9>as,11.0,39.79264195017717,35.299661184284339,47.120175551826513
14,"BENETEAU, Walter",68.0,40.576918250043924,34.248714454799533,48.34956965856427,VANDEVELDE Christian,24.0,40.41130916022334,34.720739240203173,47.647058823529413,GRABSCH Bert,105.0,37.840788636845453,32.680617957281179,47.164378975560766,SCHLECK Andy,12.0,40.415184316100216,36.070163348372439,47.105471847739892,SCHLECK Frank,,,,44.873949579831937,O™GRADY Stuart,78.0,37.773250371675566,31.506673181268805,42.039579247637725,MONFORT Maxime,16.0,39.712804853042776,35.007065054128326,46.962562717097647
15,"BERNUCCI, Lorenzo",62.0,40.641822141355483,34.141069622637765,48.75071523936677,VOIGT Jens,53.0,39.966971351897776,33.230822127139362,45.69866608353378,KIRCHEN Kim,7.0,39.13839519557564,35.702036816686501,48.501262336470049,SCHLECK Frank,6.0,40.469302678120265,36.272482160453052,46.075085324232084,SORENSEN Chris,69.0,37.881652701531351,33.927418954475499,43.971119133574007,POSTHUMA Joost,108.0,37.26100811123986,31.005947108692901,39.411666388099619,POPOVYCH Yaroslav,76.0,38.878083279030768,33.591339532599527,45.273471412625575
16,"BERTOGLIATI, Rubens",92.0,40.364538630795401,33.667393451118038,47.566762817530474,ZABRISKIE David,74.0,39.655778985288975,32.710043150858787,48.594349494244852,MERCKX Axel,62.0,38.234590599953584,33.508240337003919,45.597151796310278,SORENSEN Nicki,118.0,39.044708448991905,33.297548756485952,44.769369912571598,SORENSEN Nicki,155.0,36.496859967931591,31.025559540563854,44.651731160896126,SCHLECK Frank,3.0,39.749937226775515,34.930198523192715,45.830903790087461,VOIGT Jens,52.0,39.104520265400957,34.095120444718965,46.9082498072475
17,"BERTOLINI, Alessandro",113.0,40.182690963321988,33.573183573183577,47.61993479273405,KLƒ–DEN Andrƒas,3.0,40.778048621844206,35.647763946519134,49.603607880370284,SINKEWITZ Patrik,,,35.643077595389613,48.69863013698631,VOIGT Jens,37.0,39.958588904445769,34.891932711837924,48.003879101341525,VOIGT Jens,126.0,36.874813668963583,31.68681029952706,39.934426229508198,VOIGT Jens,67.0,38.024968127759955,32.033885010589067,38.814814814814881,ZUBELDIA Haimar,6.0,39.809378043690003,35.317095072398693,46.407322654462241
18,"BESSY, Frederic",129.0,39.990599905380627,33.299486495111552,46.074808472284815,GUERINI Giuseppe,26.0,40.354330587986475,34.824645688205621,46.642115835286234,SASTRE Carlos,4.0,39.175379663104245,35.824590667661646,48.087381954716122,ZUBELDIA Haimar,45.0,39.846140451255003,34.469700867453511,45.559134836631387,ARMSTRONG Lance,23.0,39.038017198256355,35.567815134797542,42.570873786407766,SANCHEZ Samuel,6.0,39.712863262706954,34.880476764379324,45.582833945486179,VOECKLER Thomas,26.0,39.44267595748947,34.713150926743161,43.991323210412148
19,"BODROGI, Laszlo",119.0,40.111529467226589,33.169575771587098,50.156985871271587,HONCHAR Serhiy,52.0,39.976558609549031,33.430375003603032,50.508761329305131,ARVESEN Kurt-Asle,67.0,38.214580942129395,33.753256958517724,45.081600000000002,ASTARLOZA Mikel,16.0,40.322600946531061,35.769735928840674,46.096538879404008,BRAJKOVIC Janez,43.0,38.432432432432435,33.802120257860288,42.291666666666664,IZAGIRRE INSAUSTI Gorka,66.0,38.027075967922741,32.362186005969519,38.86599637382561,ARASHIRO Yukiya,84.0,38.825684678016287,33.530841041817638,44.473684210526322
20,"BOOGERD, Michael",24.0,41.344453999379816,35.84895838755687,48.708909004287754,KESSLER Matthias,54.0,39.95702488368493,33.754365541327125,47.168491140954742,CANCELLARA Fabian,100.0,37.868664069728382,32.778799733309768,47.02269692923899,ISASI Inaki,104.0,39.182842255898436,33.114533699756819,44.454422990570279,HORNER Christopher,10.0,39.422561129620057,36.294434216116699,42.032208588957054,MARTINEZ Egoi,34.0,38.762172037745088,32.943454061466483,42.129712345899591,BERNAUDEAU Giovanni,,,33.997734192452029,48.200836820083687
21,"BOONEN, Tom",,,32.004064008128012,54.260324098274957,MAZZOLENI Eddy,27.0,40.319603099255808,34.671263726408512,47.506251420777446,CUESTA Inigo,51.0,38.391640353576243,34.249024298124134,44.408952400966697,MARTINEZ Egoi,50.0,39.771937229974668,34.702165130011394,44.986367767343232,KL–DEN Andras,14.0,39.357708933717582,36.179148725912327,41.855670103092784,PEREZ LEZAUN Alan,94.0,37.521650612294508,30.743494734729044,40.095221901037242,GAUTIER Cyril,61.0,39.044606137298324,33.802816901408448,44.56598705896716
22,"BORTOLAMI, Gianluca",,,32.76066281237906,53.606472714752968,ROGERS Michael,10.0,40.674993898238057,35.42059024136983,48.431054461181922,O€™GRADY Stuart,,,37.5,46.394779771615013,OROZ Juan Jos,103.0,39.193868063032198,33.287622227522064,45.116208415615979,LEIPHEIMER Levi,13.0,39.385138545096254,36.106512627241024,43.586481113320083,PEREZ MORENO Ruben,75.0,37.849668033766761,31.551027065074639,38.322769380789801,GENE Yohann,139.0,38.415159976198105,32.792420973642251,43.759290338048437
23,"BOTERO, Santiago",51.0,40.78987207630005,34.469848642588289,48.993674525589419,SINKEWITZ Patrik,23.0,40.420986702936041,34.629854489718738,47.323369565217391,SCHLECK Frank,17.0,38.99943556658797,35.419722759901738,47.217070718355494,PEREZ Ruben,91.0,39.354805025690482,33.668700310574614,44.911537879933462,MURAVYEV Dmitriy,148.0,36.648869855929689,31.634983335390693,43.847999999999999,TXURRUKA Amets,,,,50.303766707168897,JEROME Vincent,,,33.691190401010417,42.556762092793676
24,"BRANDT, Christophe",56.0,40.683628402098826,34.338538861963741,48.741418764302054,MOREAU Christophe,8.0,40.716505797177646,35.579597513089006,47.848883800801367,VANDEVELDE Christian,25.0,38.829522382287536,35.306027098582781,46.195212591540063,SANCHEZ Samuel,7.0,40.454354599898345,36.156204127450131,47.451669595782072,PAULINHO Sergio,46.0,38.401588687048566,34.172847737311443,41.350433798566577,URTASUN PEREZ Pablo,149.0,36.796433594774356,30.514806605065875,39.451229713903295,KERN Christophe,83.0,38.827121655131577,34.052685123054616,37.832382623957869
25,"BROCHARD, Laurent",28.0,41.210078035630644,35.438686769927443,48.960827506943779,ARRIETA Jose Luis,28.0,40.317133670188333,34.663319286290687,45.386035400152018,VOIGT Jens,28.0,38.741499059470414,34.464818115017863,47.386478304742688,TXURRUKA Amets,52.0,39.735062373833692,34.84946214186138,44.749133644719002,POPOVYCH Yaroslav,85.0,37.450982632541134,31.894835096453022,43.551847437425501,VELASCO Ivan,,,,40.311587147030181,MALACARNE Davide,59.0,39.053084826525044,33.724557059712531,44.54423428920073
26,"CALZATI, Sylvain",,,,53.239870063258678,ASTARLOZA Mikel,36.0,40.15898192998938,34.178781925343813,46.23451327433628,ZABRISKIE David,,,33.80768192857785,50.604982206405694,VERDUGO Gorka,73.0,39.540847026151354,34.129046061680469,45.762711864406782,RAST Gregory,114.0,36.991338205005221,31.476648140755984,40.227522935779817,VERDUGO Gorka,25.0,39.136139759249986,33.766639412786056,42.989972652689154,ROLLAND Pierre,8.0,39.803713880097263,35.474378488077122,44.939061922934876
27,"CAMANO, Iker",69.0,40.534314539761738,34.468813501636653,46.689195360306883,CALZATI Sylvain,34.0,40.188402788800843,34.112433577128961,45.097108329736727,EVANS Cadel,2.0,39.223803521451309,35.843471386534326,50.02248786838679,VALVERDE Alejandro,9.0,40.448352924836804,36.156984651253161,46.897205116058736,WIGGINS Bradley,24.0,39.037087323138486,35.087539148739538,45.732165206508128,VAN DEN BROECK Jurgen,,,,53.076923076923073,SANCHEZ Samuel,,,,48.710359408033831
28,"CANADA, David",63.0,40.639395672421273,34.141069622637765,47.883102285500186,DESSEL Cyril,7.0,40.723558651493541,35.645207556447978,47.157847230057541,AERTS Mario,70.0,38.157622831082762,33.545427641313999,44.357682619647363,ARROYO David,30.0,40.135306553911207,35.752937786173995,44.695259593679452,BARRY Micha«l,99.0,37.150030035475865,31.367329141231007,41.601518026565465,GILBERT Philippe,38.0,38.669188661046455,32.372446957486723,42.632435364310254,ASTARLOZA Mikel,,,,50.526315789473685
29,"CANCELLARA, Fabian",128.0,40.00779553427251,32.99729765988846,50.161907565498964,DUMOULIN Samuel,120.0,39.311327092757644,32.42351669446748,45.2141929900476,CIONI Dario,56.0,38.309585415002324,33.810869259004548,45.173150919196239,COYOT Arnaud,115.0,39.052800000000005,33.208751772065312,43.928412956663216,CUMMINGS Stephen,151.0,36.599762158661392,30.520282843319688,41.744097486671741,GREIPEL Andr,156.0,36.733601070950471,30.148874215642046,40.578213732576145,AZANZA SOTO Jorge,74.0,38.899466975666286,33.698911832747832,44.322486644001941
30,"CARLSTRÖM, Kjell",141.0,39.901395762115733,32.855616197855042,48.556231003039514,GERRANS Simon,79.0,39.564374645017622,32.785556790984302,44.961273666092943,HORNER Christopher,15.0,39.045527047349957,35.510651629072683,47.718189003048437,GARCIA ACOSTA Vicente,141.0,38.882752761257429,33.114533699756819,43.389335281227176,FLECHA Juan Antonio,89.0,37.377525886055743,32.273399867770678,44.04178384893531,LANG Sebastian,113.0,37.174407822641825,30.58590531983058,41.994657168299199,IZAGUIRRE INSAUSTI Gorka,39.0,39.238839744908454,34.488277011103683,44.576871412870929
31,"CASAR, Sandy",29.0,41.199838169660637,35.172625127681307,48.634763581010375,GOUBERT Stephane,37.0,40.128747908303687,34.345109419882142,44.692044482463636,HOSTE Leif,110.0,37.820298521518033,32.724910581102542,48.674421282966719,GUTIERREZ Jos Ivan,56.0,39.687313204017606,34.212004534637892,46.515270164447927,GERRANS Simon,,,31.559905375945082,45.771428571428572,ROELANDTS Jurgen,85.0,37.641980502258882,30.925597166247378,44.939965694682677,MARTINEZ Egoi,17.0,39.688265503967614,35.053085415715067,45.027753793018384
32,"CAUCCHIOLI, Pietro",36.0,41.046327475617531,35.294117647058826,48.176420695504667,LEIPHEIMER Levi,13.0,40.642974451428081,35.325292397660817,46.367872198801855,MC EWEN Robbie,,,37.324793952438448,47.479131886477461,LOPEZ GARCIA David,51.0,39.752566317872862,34.672711464414363,43.921916592724045,BOASSON HAGEN Edvald,116.0,36.981738791950853,31.275933609958503,39.559725730783114,SIEBERG Marcel,141.0,36.910384408441445,30.148874215642046,40.620155038759691,PEREZ MORENO Ruben,87.0,38.763159596382593,33.320978110074449,43.69120287253142
33,"CHAVANEL, Sylvain",58.0,40.666997880649767,34.375904721021477,48.597775453940493,FOTHEN Marcus,15.0,40.638583559436611,35.328879231565907,48.375,RODRIGUEZ Fred,,,33.593770279039582,41.64455242010839,PEREIRO SIO Oscar,,,37.546315356113624,47.58064516129032,L–VKVIST Thomas,17.0,39.298723098135603,35.94760927883857,41.288135593220332,VAN DE WALLE Jurgen,,,,45.594713656387661,TXURRUKA Amets,,,,47.505154639175259
34,"CIONI, Dario",54.0,40.702962475727084,33.85075155078006,49.956024626209327,KOPP David,,,33.343906616760769,45.374280230326299,VAN SUMMEREN Johan,63.0,38.232656934697438,33.778403211787591,46.556510244547262,PORTAL Nicolas,66.0,39.615046928907958,34.425420837358438,45.440636474908203,PAUWELS Serge,107.0,37.058883386473106,31.299329801688469,38.382352941176471,VANENDERT Jelle,20.0,39.291805615660721,34.303633258359852,41.245408430995354,URTASUN PEREZ Pablo,134.0,38.453178406810416,33.175875158161112,43.550465282748753
35,"COMMESSO, Salvatore",101.0,40.298758600059827,33.637136242417135,47.460774301364772,LANG Sebastian,66.0,39.716910267432915,32.962910331107004,48.993084046418936,VANSEVENANT Wim,141.0,37.621896955503516,32.670936749399523,44.301886792452834,SANCHEZ Luis-Leon,62.0,39.634284017555856,34.123135848749087,46.573623961110236,THOMAS Geraint,67.0,37.943265284860132,32.593558233442494,46.272688898269315,WILLEMS Frederik,,,,53.076923076923073,VERDUGO Gorka,,,,46.639676113360331
36,"CONTADOR, Alberto",31.0,41.147667726140362,35.313663354151927,49.510895883777245,SCHOLZ Ronny,96.0,39.462978616261708,32.401173348232994,46.17832283725555,MENCHOV Denis,,,35.14456243702039,46.677838290741519,KIRCHEN Kim,8.0,40.450523537897702,36.058903313311376,49.06657855608789,BASSO Ivan,32.0,38.758048209439686,34.688594487589462,39.516943042537854,GESINK Robert,33.0,38.810661302489315,32.857462119519063,44.314978387521144,SCARPONI Michele,24.0,39.487710317310949,34.497352176916245,45.369127516778526
37,"COOKE, Baden",142.0,39.899549267443909,32.855616197855042,47.522543460072512,TOTSCHNIG Georg,47.0,40.023590569852097,33.726554548538751,46.689008042895438,BOOGERD Michael,12.0,39.074493540609488,35.489033066045124,47.891218130311621,BURGHARDT Marcus,120.0,39.020097442143722,33.158785623075929,43.345008756567424,BELLOTTI Francesco,122.0,36.913227096120281,31.717693652438932,41.226024821361413,BARREDO Carlos,35.0,38.696575973525377,32.567494528668007,45.389797882579487,BOLE Grega,,,33.540567915895359,47.505154639175259
38,"CORIONI, Claudio",,,,53.95945243458673,WEGMANN Fabian,68.0,39.702298202390175,33.124839345386,45.985256903949832,DE GROOT Bram,134.0,37.72216547497446,32.658385888529629,46.679920477137173,CAVENDISH Mark,,,34.440220538254323,44.453746337379656,KOREN Kristjan,94.0,37.205482561934225,32.159495537324908,39.389148401006103,BOOM Lars,,,29.61980892961591,54.980079681274901,HONDO Danilo,86.0,38.763278955050161,32.890115403913697,44.872771972956357
39,"CORTINOVIS, Alessandro",98.0,40.311822058200136,33.648969540617394,48.787936629127699,WROLICH Peter,135.0,39.191379156371866,32.096009445971625,43.991158825386798,DEKKER Thomas,35.0,38.586560980003604,34.394807821982468,48.368047608148316,CIOLEK Gerald,106.0,39.176852570883497,33.390149816094016,44.447770128703979,KREUZIGER Roman,9.0,39.42445783567279,36.247591096338468,41.983914209115277,GARATE Juan Manuel,,,,54.617414248021106,KRIVTSOV Yuriy,,,37.179419104762921,43.261414952333162
40,"CRETSKENS, Wilfried",,,33.049579196369663,53.856796956070568,ZBERG Beat,,,33.865693569025169,44.585079631181891,FLECHA Juan Antonio,85.0,38.001916116670216,32.968151631198793,45.602071644367719,EISEL Bernhard,144.0,38.77638714050547,33.018895821628178,43.727915194346288,KUCHYNSKI Aleksandr,86.0,37.428744347508335,32.826835321431432,40.109769484083422,MOLLEMA Bauke,70.0,37.931754789083712,31.842399355459108,40.746500777604979,LLOYD Matthew,,,,46.265060240963855
41,"DA CRUZ, Carlos",76.0,40.502832661574452,33.677930461147241,46.864686468646866,MENCHOV Denis,6.0,40.735528905060704,35.610549909423071,48.218735579141672,FREIRE Oscar,,,,48.615384615384613,HANSEN Adam,108.0,39.131629736398502,33.370192164011833,45.454545454545453,OSS Daniel,124.0,36.889754252882618,31.081531791031203,42.971383771070172,NIERMANN Grischa Jan,71.0,37.919873231910678,31.670098829043848,42.159842660468442,MARZANO Marco,80.0,38.857682584659834,33.724918538844108,42.845070422535215
42,"DAVIS, Allan",84.0,40.443176914272847,33.679906884848243,48.523967726625536,BOOGERD Michael,14.0,40.639963451826787,35.483805172554455,46.137542775140744,NIERMANN Grischa,86.0,38.000680081018345,33.220714303159575,44.605804749340365,HINCAPIE George,35.0,39.986020401476594,34.99033791194443,48.190816160960573,QUINZIATO Manuel,162.0,36.413740237521246,30.770847091312959,42.455460883036409,SANCHEZ Luis-Leon,57.0,38.219636003466633,31.635208758294819,43.099981721805889,PETACCHI Alessandro,,,37.179419104762921,43.446712018140587
43,"DEKKER, Erik",109.0,40.224808564372758,33.237772565372254,48.713550600343055,DE GROOT Bram,,,33.648028251912891,47.060384870603848,RASMUSSEN Michael,,,35.969853232844109,46.668062827225128,L–VKVIST Thomas,41.0,39.857666742353786,34.406680430160542,48.136142625607782,SZMYD Sylvester,61.0,38.10271671529707,34.193365466402042,39.703006157189421,TEN DAM Laurens,58.0,38.2071005550983,32.196634577482676,41.579968259566215,STORTONI Simone,69.0,38.93784835419077,34.248767266433724,43.534883720930239
44,"DUMOULIN, Samuel",114.0,40.169087227143407,33.084801783277925,47.748925835979826,DEKKER Erik,,,,48.96551724137931,WEENING Pieter,128.0,37.761734761338097,32.680617957281179,44.427625354777675,SIUTSOU Konstantsin,17.0,40.313086920001133,35.941674445553154,46.815889029003785,VANDBORG Brian,128.0,36.86527463010556,32.028870037962221,39.602601156069369,TJALLINGII Maarten,99.0,37.447231791935565,31.37007228874532,44.215263453965875,VIGANO Davide,,,,46.545454545454547
45,"EISEL, Bernhard",143.0,39.897333699411092,32.855616197855042,47.407956969303534,FLECHA Juan Antonio,82.0,39.540609617284801,32.605823204730534,45.053357766519348,MOREAU Christophe,37.0,38.56895910111281,34.470640907593406,45.656260127471107,SOLER HERNANDEZ Juan Mauricio,,,,43.829962855963686,VANDEVELDE Christian,,,,44.5,HUSHOVD Thor,68.0,37.978421072056889,30.752754746027893,42.311143010945635,NIBALI Vincenzo,3.0,39.880253178992987,35.473978533417515,47.205482994956682
